Time,PV,MV
139.2,107.8034386,41.39298586
139.68,107.8032692,41.39298328
140.12,107.8031015,41.39298121
140.59,107.8032692,41.39298328
141.09,107.8031015,41.39298121
141.56,107.8041319,41.39300133
141.99,107.8039562,41.39299669
142.46,107.8037821,41.39299257
142.95,107.8036095,41.39298896
143.43,107.8034386,41.39298586
143.87,107.8032692,41.39298328
144.34,107.8031015,41.39298121
144.82,107.8032692,41.39298328
145.3,107.8031015,41.39298121
145.74,107.8041319,41.39300133
146.21,107.8039562,41.39299669
146.69,107.8037821,41.39299257
147.15,107.8036095,41.39298896
147.63,107.8034386,41.39298586
148.12,107.8032692,41.39298328
148.55,107.8031015,41.39298121
149.02,107.8032692,41.39298328
149.51,107.8031015,41.39298121
149.99,107.8041319,41.39300133
150.43,107.8039562,41.39299669
150.9,107.8037821,41.39299257
151.38,107.8036095,41.39298896
151.87,107.8034386,41.39298586
152.3,107.8032692,41.39298328
152.77,107.8031015,41.39298121
153.26,107.8032692,41.39298328
153.74,107.8031015,41.39298121
154.18,107.8050345,41.39303236
154.66,107.8048508,41.39302511
155.13,107.8046686,41.39301838
155.61,107.8044881,41.39301218
156.05,107.8043092,41.39300649
156.52,107.8041319,41.39300133
157,107.8039562,41.39299669
157.49,107.8037821,41.39299257
157.93,107.8036095,41.39298896
158.39,107.8034386,41.39298586
158.88,107.8032692,41.39298328
159.36,107.8031015,41.39298121
159.8,107.8032692,41.39298328
160.27,107.8031015,41.39298121
160.75,107.8041319,41.39300133
161.24,107.8039562,41.39299669
161.68,107.8037821,41.39299257
162.14,107.8036095,41.39298896
162.63,107.8034386,41.39298586
163.11,107.8032692,41.39298328
163.55,107.8031015,41.39298121
164.02,107.8032692,41.39298328
164.5,107.8031015,41.39298121
164.99,107.8041319,41.39300133
165.42,107.8039562,41.39299669
165.89,107.8037821,41.39299257
166.38,107.8036095,41.39298896
166.86,107.8034386,41.39298586
167.3,107.8032692,41.39298328
167.77,107.8031015,41.39298121
168.25,107.8032692,41.39298328
168.74,107.8031015,41.39298121
169.17,107.8041319,41.39300133
169.67,107.8039562,41.39299669
170.11,107.8037821,41.39299257
170.61,107.8036095,41.39298896
171.08,107.8034386,41.39298586
171.55,107.8032692,41.39298328
171.99,107.8031015,41.39298121
172.47,107.8032692,41.39298328
172.95,107.8031015,41.39298121
173.39,107.8050345,41.39303236
173.86,107.8048508,41.39302511
174.34,107.8046686,41.39301838
174.83,107.8044881,41.39301218
175.3,107.8043092,41.39300649
175.73,107.8041319,41.39300133
176.22,107.8039562,41.39299669
176.7,107.8037821,41.39299257
177.17,107.8036095,41.39298896
177.61,107.8034386,41.39298586
178.09,107.8032692,41.39298328
178.58,107.8031015,41.39298121
179.05,107.8032692,41.39298328
179.48,107.8031015,41.39298121
179.98,107.8041319,41.39300133
180.42,107.8039562,41.39299669
180.9,107.8037821,41.39299257
181.39,107.8036095,41.39298896
181.86,107.8034386,41.39298586
182.3,107.8032692,41.39298328
182.78,107.8031015,41.39298121
